300,10,290,145,2
310,10,300,150,2
320,10,310,155,2
330,10,320,160,2
340,10,330,165,2
350,10,340,170,2
360,10,350,175,2
370,10,360,180,2
380,10,370,185,2
390,10,380,190,2
400,10,390,195,2
410,10,400,200,2
420,20,400,100,4
430,10,420,105,4
440,20,420,105,4
450,10,440,110,4
460,20,440,110,4
470,10,460,115,4
480,20,460,115,4
490,10,480,120,4
500,20,480,120,4
510,10,500,125,4
520,20,500,125,4
530,10,520,130,4
540,20,520,130,4
550,10,540,135,4
560,20,540,135,4
570,10,560,140,4
580,20,560,140,4
590,10,580,145,4
600,20,580,145,4
610,10,600,150,4
620,20,600,150,4
630,10,620,155,4
640,20,620,155,4
650,10,640,160,4
660,20,640,160,4
670,10,660,165,4
680,20,660,165,4
690,10,680,170,4
700,20,680,170,4
710,10,700,175,4
720,20,700,175,4
730,10,720,180,4
740,20,720,180,4
750,30,720,180,4
760,20,740,185,4
770,30,740,185,4
780,20,760,190,4
790,30,760,190,4
800,20,780,195,4
810,30,780,195,4
820,20,800,200,4
830,20,810,135,6
840,30,810,135,6
850,40,810,135,6
860,20,840,140,6
870,30,840,140,6
880,40,840,140,6
890,20,870,145,6
900,30,870,145,6
910,40,870,145,6
920,50,870,145,6
930,30,900,150,6
940,40,900,150,6
950,50,900,150,6
960,30,930,155,6
970,40,930,155,6
980,50,930,155,6
990,30,960,160,6
1000,40,960,160,6
1010,50,960,160,6
1020,30,990,165,6
1030,40,990,165,6
1040,50,990,165,6
1050,30,1020,170,6
1060,40,1020,170,6
1070,50,1020,170,6
1080,30,1050,175,6
1090,40,1050,175,6
1100,50,1050,175,6
1110,60,1050,175,6
1120,40,1080,180,6
1130,50,1080,180,6
1140,60,1080,180,6
1150,40,1110,185,6
1160,50,1110,185,6
1170,60,1110,185,6
1180,40,1140,190,6
1190,50,1140,190,6
1200,60,1140,190,6
1210,70,1140,190,6
1219.2,49.2,1170,195,6
1220,50,1170,195,6
1230,60,1170,195,6
1240,70,1170,195,6
1250,50,1200,200,6
1260,60,1200,200,6
1270,70,1200,200,6
1280,56,1224,153,8
