0.5 N·m,0.05,0.25,m,0.2,N,0.2 N-1,,,,,,,,,,,,,,,,,,,,,,
0.5 N·m,0.1,0.25,m,0.4,N,0.2 N-1,0.2 N-2,,,,,,,,,,,,,,,,,,,,,
0.5 N·m,0.15,0.25,m,0.6,N,0.2 N-1,0.2 N-2,0.2 N-3,,,,,,,,,,,,,,,,,,,,
0.5 N·m,0.2,0.25,m,0.8,N,0.2 N-1,0.2 N-2,0.2 N-3,0.2 N-4,,,,,,,,,,,,,,,,,,,
0.5 N·m,0.25,0.25,m,1,N,0.2 N-1,0.2 N-2,0.2 N-3,0.2 N-4,0.2 N-5,,,,,,,,,,,,,,,,,,
0.5 N·m,0.3,0.25,m,1.2,N,0.2 N-1,0.2 N-2,0.2 N-3,0.2 N-4,0.2 N-5,0.2 N-6,,,,,,,,,,,,,,,,,
0.5 N·m,0.35,0.25,m,1.4,N,0.2 N-1,0.2 N-2,0.2 N-3,0.2 N-4,0.2 N-5,0.2 N-6,0.2 N-7,,,,,,,,,,,,,,,,
0.5 N·m,0.4,0.25,m,1.6,N,0.2 N-1,0.2 N-2,0.2 N-3,0.2 N-4,0.2 N-5,0.2 N-6,0.2 N-7,0.2 N-8,,,,,,,,,,,,,,,
0.5 N·m,0.45,0.25,m,1.8,N,0.2 N-1,0.2 N-2,0.2 N-3,0.2 N-4,0.2 N-5,0.2 N-6,0.2 N-7,0.2 N-8,0.2 N-9,,,,,,,,,,,,,,
0.5 N·m,0.5,0.25,m,2,N,0.2 N-1,0.2 N-2,0.2 N-3,0.2 N-4,0.2 N-5,0.2 N-6,0.2 N-7,0.2 N-8,0.2 N-9,0.2 N-10,,,,,,,,,,,,,
0.8 N·m,0.05,0.25,m,0.2,N,0.2 N-1,,,,,,,,,,,,,,,,,,,,,,
0.8 N·m,0.1,0.25,m,0.4,N,0.2 N-1,0.2 N-2,,,,,,,,,,,,,,,,,,,,,
0.8 N·m,0.15,0.25,m,0.6,N,0.4 N-1,0.2 N-1,,,,,,,,,,,,,,,,,,,,,
